id,name,main_artist,artists,n_artists,year,decade,primary_genre,explicit,key,mode,popularity,popularity_pct_in_year,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,valence_norm,acousticness_norm,danceability_norm,energy_norm,instrumentalness_norm,liveness_norm,loudness_norm,speechiness_norm,tempo_norm,duration_ms_norm,popularity_norm
6WUsQMO3AU2RZLkchS3j3p,Amor Mio - Remasterizado,Ignacio Corsini,['Ignacio Corsini'],1,1926,1920,tango,0,2,0,0,0.28265602322206096,0.525,0.992,0.478,0.118,0.8590000000000001,0.113,-24.613000000000003,0.104,79.562,161600,0.525,0.9959839357429718,0.4838056680161943,0.118,0.8590000000000001,0.113,0.5541774332472007,0.10721649484536082,0.3267339337267512,0.02898863217046854,0.0
0yrVHDPQF4HiwjGQAgYIb6,Tight Like This,Louis Armstrong & His Savoy Ballroom Five,['Louis Armstrong & His Savoy Ballroom Five'],1,1926,1920,unknown,0,2,1,5,0.9034833091436865,0.503,0.872,0.759,0.244,0.00419,0.0469,-11.738,0.111,114.098,191800,0.503,0.8755020080321285,0.7682186234817814,0.244,0.00419,0.0469,0.7558061232479838,0.11443298969072166,0.46856147872545756,0.03458289060890724,0.05
7n1GRhvTMXGogfRVMXyCFw,"Sonata quasi Concerto, Op. 33, No. 3 in C: III. Presto",Muzio Clementi,"['Muzio Clementi', 'Vladimir Horowitz']",2,1928,1920,classical era,0,0,1,0,0.40087232355273594,0.377,0.99,0.27,0.0837,0.915,0.0944,-27.367,0.0349,76.467,326467,0.377,0.9939759036144579,0.2732793522267207,0.0837,0.915,0.0944,0.5110484691880041,0.03597938144329897,0.31402382683044017,0.05952865223570278,0.0
38NliuAdeIXhfsUx20jDrX,Chapter 2.6 - Zamek kaniowski,Seweryn Goszczyński,['Seweryn Goszczyński'],1,1928,1920,unknown,0,9,0,0,0.40087232355273594,0.66,0.7,0.772,0.228,0.0,0.224,-21.362,0.953,70.773,112000,0.66,0.7028112449799196,0.7813765182186235,0.228,0.0,0.224,0.605089656252447,0.9824742268041237,0.2906405154677278,0.019800711026542718,0.0
1vEK2vbx8x7nWOHmAFpHUD,Bend Down Sister,Chick Bullock And His Levee Loungers,['Chick Bullock And His Levee Loungers'],1,1925,1920,unknown,0,0,1,5,0.8705035971223022,0.8640000000000001,0.992,0.7759999999999999,0.376,0.0341,0.0892,-10.126,0.0436,106.555,181467,0.8640000000000001,0.9959839357429718,0.7854251012145749,0.376,0.0341,0.0892,0.7810508182601207,0.044948453608247424,0.4375849564899572,0.03266880211737125,0.05
19ZGIskmMAdyeYITGMtuU5,Часть 87.3 - На Западном фронте без перемен,Эрих Мария Ремарк,['Эрих Мария Ремарк'],1,1929,1920,unknown,1,8,0,0,0.4726890756302521,0.748,0.012,0.708,0.256,0.0,0.0818,-20.094,0.954,80.04,102800,0.748,0.012048192771084338,0.7165991902834008,0.256,0.0,0.0818,0.6249471458773784,0.9835051546391752,0.3286969163104141,0.018096499846620994,0.0
3WWurRQ3A1KLRldoX4h7Es,Kapitel 153 - Der Page und die Herzogin,Georgette Heyer,"['Georgette Heyer', 'Irina Salkow']",2,1926,1920,unknown,0,3,0,1,0.6984760522496372,0.21,0.331,0.621,0.122,0.0,0.157,-22.785,0.951,178.65,115841,0.21,0.33232931726907633,0.6285425101214575,0.122,0.0,0.157,0.5828047921071178,0.9804123711340206,0.7336544739986941,0.02051221919416004,0.01
7fAa9rz4UmwuB4AGh50Gmp,St. James Infirmary,Louis Armstrong & His Savoy Ballroom Five,['Louis Armstrong & His Savoy Ballroom Five'],1,1928,1920,unknown,0,5,0,32,0.9960348929421095,0.588,0.902,0.693,0.182,4.1e-05,0.153,-11.022,0.0514,116.508,191867,0.588,0.9056224899598394,0.701417004048583,0.182,4.1e-05,0.153,0.7670190274841439,0.05298969072164949,0.4784585248062684,0.034595301712065374,0.32
7gSRzVbgXqbqqWbYykjOgY,Часть 8.3 - Фиеста,Эрнест Хемингуэй,['Эрнест Хемингуэй'],1,1926,1920,unknown,1,0,1,0,0.28265602322206096,0.478,0.0152,0.7120000000000001,0.206,0.0,0.333,-18.477,0.927,128.569,108200,0.478,0.015261044176706828,0.7206477732793524,0.206,0.0,0.333,0.650270143293399,0.9556701030927836,0.5279889284496955,0.01909679771309679,0.0
7JCgyJSqH575XsmmxvVi7p,Chapter 2.19 - Zamek kaniowski,Seweryn Goszczyński,['Seweryn Goszczyński'],1,1928,1920,unknown,0,10,1,0,0.40087232355273594,0.488,0.652,0.695,0.258,0.0,0.165,-17.666,0.953,103.179,109100,0.488,0.6546184738955824,0.7034412955465587,0.258,0.0,0.165,0.6629707932033514,0.9824742268041237,0.4237208786605724,0.019263514024176087,0.0
